Menu1,Menu2,Compras menores,Menu4,Menu5,Titulo,Folder,archivo,size(in Kb),extension
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2017,"Estadísticas de la OAI, Enero 2017",2019/02/,Estadisticas-de-la-OAI-Portal-de-Transparencia-Agosto-2017-XLSX.xlsx,10.178,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2017,"Estadísticas de la OAI, Enero 2017",2019/02/,Estadisticas-de-la-OAI-Portal-de-Transparencia-diciembre-2017-XLSX.xlsx,10.002,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2017,"Estadísticas de la OAI, Enero 2017",2019/02/,Estadisticas-de-la-OAI-Portal-de-Transparencia-Julio-2017-XLSX.xlsx,10.765,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2017,"Estadísticas de la OAI, Enero 2017",2019/02/,Estadisticas-de-la-OAI-Portal-de-Transparencia-noviembre-2017-XLSX.xlsx,9.993,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2017,"Estadísticas de la OAI, Enero 2017",2019/02/,Estadisticas-de-la-OAI-Portal-de-Transparencia-octubre-2017-XLSX.xlsx,10.008,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2017,"Estadísticas de la OAI, Enero 2017",2019/02/,Estadisticas-de-la-OAI-Portal-de-Transparencia-septiembre-2017-XLSX.xlsx,9.999,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2014,"Estadísticas de la OAI, Agosto 2014",2019/02/,Estadosticas-de-la-OAI-2014.pdf,586.033,pdf
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2015,"Estadísticas de la OAI, Agosto 2015",2019/02/,Estadsticas-de-la-OAI-Agosto-2015-1.xlsx,12.102,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2017,"Estadísticas de la OAI, Enero 2017",2019/02/,Estadsticas-de-la-OAI-Enero-2017-XLSX.xlsx,9.374,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2015,"Estadísticas de la OAI, Junio 2015",2019/02/,Estadsticas-de-la-OAI-Mayo-2015-1-1.xlsx,9.076,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2015,"Estadísticas de la OAI, Mayo 2015",2019/02/,Estadsticas-de-la-OAI-Mayo-2015-1.xlsx,9.076,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2016,"Estadísticas de la OAI, Enero 2016",2019/02/,Estadsticas-de-la-OAI-Noviembre-2016.xlsx,9.069,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2016,"Estadísticas de la OAI, Enero 2016",2019/02/,Estadsticas-de-la-OAI-Octubre-2016.xlsx,9.399,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2016,"Estadísticas de la OAI, Enero 2016",2019/02/,Estadsticas-de-la-OAI-Septiembre-2016.xlsx,9.071,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2016,"Estadísticas de la OAI, Enero 2016",2019/02/,Estadísticas-de-la-OAI-ABRIL-2016.xlsx,9.068,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2015,"Estadísticas de la OAI, Diciembre 2015",2019/02/,Estadísticas-de-la-OAI-Diciembre-2015.xlsx,9.044,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2016,"Estadísticas de la OAI, Enero 2016",2019/02/,Estadísticas-de-la-OAI-Febrero-2016.xlsx,9.006,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2015,"Estadísticas de la OAI, Julio 2015",2019/02/,Estadísticas-de-la-OAI-Julio-2015.xlsx,11.817,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2016,"Estadísticas de la OAI, Enero 2016",2019/02/,Estadísticas-de-la-OAI-Julio-2016.xlsx,9.065,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2015,"Estadísticas de la OAI, Junio 2015",2019/02/,Estadísticas-de-la-OAI-Junio-2015-1.xlsx,9.085,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2016,"Estadísticas de la OAI, Enero 2016",2019/02/,Estadísticas-de-la-OAI-Junio-2016.xlsx,9.068,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2015,"Estadísticas de la OAI, Marzo 2015",2019/02/,Estadísticas-de-la-OAI-Marzo-2015-3-1.csv,0.311,csv
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2016,"Estadísticas de la OAI, Enero 2016",2019/02/,Estadísticas-de-la-OAI-Marzo-2016.xlsx,9.072,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2016,"Estadísticas de la OAI, Enero 2016",2019/02/,Estadísticas-de-la-OAI-MAYO-2016.xlsx,9.069,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2015,"Estadísticas de la OAI, Noviembre 2015",2019/02/,Estadísticas-de-la-OAI-Noviembre-2015.xlsx,9.15,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2015,"Estadísticas de la OAI, Septiembre 2015",2019/02/,Estadísticas-de-la-OAI-Septiembre-2015.xlsx,11.737,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2016,"Estadísticas de la OAI, Enero 2016",2019/02/,Estadísticas_de_la_OAI_Enero_2016.xlsx,9.093,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticasy balances de la gesti√≥n OAI,2015,"Estadísticas de la OAI, Octubre 2015",2019/02/,Estadísticas_de_la_OAI_Octubre_2015.xlsx,11.725,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Indice de documentos disponibles para la entrega,Indice de documentos - 2018,"indice de Documentos disponibles para la entrega, Enero 2018",2019/02/,Indice-de-Documentos-disponibles-para-la-entrega-agosto-2018.xlsx,174.163,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Indice de documentos disponibles para la entrega,Indice de documentos - 2018,"indice de Documentos disponibles para la entrega, Enero 2019",2019/02/,Indice-de-Documentos-disponibles-para-la-entrega-diciembre-2018.pdf,637.155,pdf
,,Oficina de Libre Acceso a la Información (OAI),Indice de documentos disponibles para la entrega,Indice de documentos - 2018,"indice de Documentos disponibles para la entrega, Enero 2020",2019/02/,Indice-de-Documentos-disponibles-para-la-entrega-julio-2018.xlsx,174.173,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Indice de documentos disponibles para la entrega,Indice de documentos - 2018,"indice de Documentos disponibles para la entrega, Enero 2021",2019/02/,Indice-de-Documentos-disponibles-para-la-entrega-Noviembre-2018.pdf,638.257,pdf
,,Oficina de Libre Acceso a la Información (OAI),Indice de documentos disponibles para la entrega,Indice de documentos - 2018,"indice de Documentos disponibles para la entrega, Enero 2022",2019/02/,Indice-de-Documentos-disponibles-para-la-entrega-Octubre-2018.pdf,636.839,pdf
,,Oficina de Libre Acceso a la Información (OAI),Indice de documentos disponibles para la entrega,Indice de documentos - 2018,"indice de Documentos disponibles para la entrega, Enero 2023",2019/02/,Indice-de-Documentos-disponibles-para-la-entrega-septiembre-2018.xlsx,174.178,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Indice de documentos disponibles para la entrega,Indice de documentos - 2018,"indice de Documentos disponibles para la entrega, Enero 2024",2019/02/,indice-de-documentos-para-entrega-abril-2018.doc,3143.68,doc
,,Oficina de Libre Acceso a la Información (OAI),Indice de documentos disponibles para la entrega,Indice de documentos - 2018,"indice de Documentos disponibles para la entrega, Enero 2025",2019/02/,indice-de-documentos-para-entrega-enero-2018.doc,3131.904,doc
,,Oficina de Libre Acceso a la Información (OAI),Indice de documentos disponibles para la entrega,Indice de documentos - 2018,"indice de Documentos disponibles para la entrega, Enero 2026",2019/02/,indice-de-documentos-para-entrega-febrero-2018.doc,3143.68,doc
,,Oficina de Libre Acceso a la Información (OAI),Indice de documentos disponibles para la entrega,Indice de documentos - 2018,"indice de Documentos disponibles para la entrega, Enero 2027",2019/02/,indice-de-documentos-para-entrega-junio-2018.doc,4124.672,doc
,,Oficina de Libre Acceso a la Información (OAI),Indice de documentos disponibles para la entrega,Indice de documentos - 2018,"indice de Documentos disponibles para la entrega, Enero 2028",2019/02/,indice-de-documentos-para-entrega-marzo-2018.doc,3143.68,doc
,,Oficina de Libre Acceso a la Información (OAI),Indice de documentos disponibles para la entrega,Indice de documentos - 2018,"indice de Documentos disponibles para la entrega, Enero 2029",2019/02/,indice-de-documentos-para-entrega-mayo-2018.doc,3240.448,doc
,,,,,,2019/02/,MANUAL-DE-ORGANIZACION-OAI-1.pdf,1342.055,pdf
,,,Oficina de Libre Acceso a la Información (OAI),Manual de procedimientos de la OAI,Manual de procedimientos de la OAI,2019/02/,MANUAL-DE-PROCEDIMIENTOS-OAI.pdf,1696.282,pdf
,,,Plan estrat√©gico,Memorias Institucionales,Memoria Institucional OPTIC 2012 - 2016,2019/02/,Memoria-Institucional-2017.pdf,7295.046,pdf
,,,Plan estrat√©gico,Memorias Institucionales,Memoria Institucional OPTIC 2012 - 2016,2019/02/,MEMORIA-INSTITUCIONAL-OPTIC-2018.pdf,4681.095,pdf
,,,Plan estrat√©gico,Memorias Institucionales,Memoria Institucional OPTIC 2012 - 2016,2019/02/,MEMORIA-OPTIC-2012-20216.pdf,16016.477,pdf
,,Oficina de Libre Acceso a la Información (OAI),Estadísticas y balances de la gestión OAI,2014,"Estadísticasde la OAI, Agosto 2014",2019/02/,OAI-Agosto-2014.xlsx,9.036,xlsx
,,Oficina de Libre Acceso a la Información (OAI),Estadísticas y balances de la gestión OAI,2014,"Estadísticasde la OAI, Agosto 2014",2019/02/,OAI-Diciembre-2014.xls,8.124,xls
,,Oficina de Libre Acceso a la Información (OAI),Estadísticas y balances de la gestión OAI,2014,"Estadísticasde la OAI, Agosto 2014",2019/02/,OAI-Noviembre-2014.xls,8.118,xls
,,Oficina de Libre Acceso a la Información (OAI),Estadísticas y balances de la gestión OAI,2014,"Estadísticasde la OAI, Agosto 2014",2019/02/,OAI-Octubre-2014.xls,8.161,xls
,,Oficina de Libre Acceso a la Información (OAI),Estadísticas y balances de la gestión OAI,2014,"Estadísticasde la OAI, Septiembre 2014",2019/02/,OAI-Septiembre-2014-1.xls,8.163,xls
,,Oficina de Libre Acceso a la Información (OAI),Estadísticas y balances de la gestión OAI,2014,"Estadísticasde la OAI, Agosto 2014",2019/02/,OAI-Septiembre-2014.xls,8.163,xls
,,,,,,2019/02/,ORGANIGRAMA-OAI.pdf,243.432,pdf
,,,,,,2019/02/,Organigrama.pdf,479.017,pdf
,,Plan estratégico,Plan Operativo Anual (POA),2019,Plan Operativo Anual (POA) 2019,2019/02/,PD-FO-006-Plan-Operativo-Anual-General-2019.pdf,316.178,pdf
,,Plan estratégico,Plan Operativo Anual (POA),2018,"Plan Operativo Anual, Enero - Marzo 2018",2019/02/,PD-FO-006-Plan-Operativo-Anual-POA-2018.xlsx,85.604,xlsx
,,,Plan estrat√©gico,Planificación Estrat√©gica Institucional,"Plan Estrat√©gico y Operativo, OPTIC 2006",2019/02/,plan-estrategico-2013-2016.pdf,18178.384,pdf
,,,Plan estrat√©gico,Planificación Estrat√©gica Institucional,"Plan Estrat√©gico y Operativo, OPTIC 2006",2019/02/,Plan-estrategico-y-Operativo-2017-v2.pdf,4826.282,pdf
,,,Plan estrat√©gico,Planificación Estrat√©gica Institucional,"Plan Estrat√©gico y Operativo, OPTIC 2006",2019/02/,Plan-Estratgico-de-la-OPTIC-2006.pdf,410.619,pdf
,,,Plan estrat√©gico,Planificación Estrat√©gica Institucional,"Plan Estrat√©gico y Operativo, OPTIC 2006",2019/02/,Plan-Estratgico-de-la-OPTIC-2007.pdf,713.007,pdf
,,,Plan estrat√©gico,Planificación Estrat√©gica Institucional,"Plan Estrat√©gico y Operativo, OPTIC 2006",2019/02/,Plan-Estratgico-de-la-OPTIC-2008.pdf,952.878,pdf
,,,Plan estrat√©gico,Planificación Estrat√©gica Institucional,"Plan Estrat√©gico y Operativo, OPTIC 2006",2019/02/,Plan-Estratgico-de-la-OPTIC-2009.pdf,1869.888,pdf
,,,Plan estrat√©gico,Planificación Estrat√©gica Institucional,"Plan Estrat√©gico y Operativo, OPTIC 2006",2019/02/,Plan-Estratgico-de-la-OPTIC-2010.pdf,589.515,pdf
,,,Plan estrat√©gico,Planificación Estrat√©gica Institucional,"Plan Estrat√©gico y Operativo, OPTIC 2006",2019/02/,Plan-Estratgico-de-la-OPTIC-2011.pdf,412.025,pdf
,,,Plan estrat√©gico,Planificación Estrat√©gica Institucional,"Plan Estrat√©gico y Operativo, OPTIC 2006",2019/02/,Plan-Estratgico-de-la-OPTIC-2012.pdf,327.776,pdf
,,Plan estrat√©gico,Plan Operativo Anual (POA),2019,Plan Operativo Anual (POA) 2019,2019/02/,Plan-Operativo-Anual-General-POA-2019.xlsx,89.644,xlsx
,,Plan estrat√©gico,Plan Operativo Anual (POA),2018,"Plan Operativo Anual, Enero - Marzo 2018",2019/02/,POA-2018-Semestre-Julio-Diciembre-2018.xlsx,63.092,xlsx
,,Plan estrat√©gico,Plan Operativo Anual (POA),2018,"Plan Operativo Anual, Enero - Marzo 2018",2019/02/,POA-Abril-Junio-2018.xlsx,55.019,xlsx
,,Plan estrat√©gico,Plan Operativo Anual (POA),2018,"Plan Operativo Anual, Enero - Marzo 2018",2019/02/,POA-Enero-Marzo-2018.xlsx,54.94,xlsx
,,,,,,2019/02/,Resolucin-No.0001-2017-que-aprueba-la-nueva-Estructura-Organi-1.pdf,5179.733,pdf
,,,,,,2019/02/,Resolucin-No.0001-2017-que-aprueba-la-nueva-Estructura-Organi.pdf,5179.733,pdf
,,,EstadísticasInternacionales,Otros,"Indicadores, World Economic Forum 2009 - 2010",2019/03/,71_Indicadores_world_Economic_Forum_2010-2011.pdf,5105.364,pdf
,,,EstadísticasInternacionales,Indicadores E-Goverment,Avances y Resultados,2019/03/,AvancesyResultadosdele-GobenRep.Dom_.ONU2012-2.pdf,2732.004,pdf
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2016,"EstadísticasPunto GOB, Enero 2016",2019/03/,Copia-de-Reporte-Enero-2016-002.xlsx,193.321,xlsx
,,,,,,2019/03/,Estadisticas-iTICge-2015-2017-xlsx.xlsx,45.425,xlsx
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2015,"EstadísticasPunto GOB, Agosto 2015",2019/03/,Estadisticas-Punto-GOB-Agosto-2015.xlsx,1310.616,xlsx
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2015,"EstadísticasPunto GOB, Julio 2015",2019/03/,Estadisticas-Punto-GOB-Julio-2015.xlsx,1313.178,xlsx
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2015,"EstadísticasPunto GOB, Junio 2015",2019/03/,Estadisticas-Punto-GOB-Junio-2015.xlsx,1340.265,xlsx
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2015,"EstadísticasPunto GOB, Mayo 2015",2019/03/,Estadisticas-Punto-GOB-Mayo-2015-1.xlsx,1309.177,xlsx
,,,,,,2019/03/,Estadisticas-Punto-GOB-Mayo-2015.xlsx,1309.177,xlsx
,,,,,,2019/03/,Historico-Informe-de-Gestion-del-CAC-Agosto-2012-a-Septiembre-2017.pdf,3104.239,pdf
,,,EstadísticasInternacionales,Otros,"Indicadores, World Economic Forum 2009 - 2010",2019/03/,Indicadores-Internacionales-1.pdf,14003.762,pdf
,,,EstadísticasInternacionales,Otros,"Indicadores, World Economic Forum 2009 - 2010",2019/03/,Indicadores_World_Economic_Forum_2009-2010.pdf,4923.924,pdf
,,,,,,2019/03/,Informe-de-Gestin-del-CAC-Trimestre-Octubre-Diciembre-2017.pdf,2354.297,pdf
,,,,,,2019/03/,Informe-de-Gestion-del-CAC-Trimestre-Abril-Junio-2018.pdf,2124.976,pdf
,,,,,,2019/03/,Informe-de-Gestion-del-CAC-Trimestre-Enero-Marzo-2018.pdf,2136.758,pdf
,,,,,,2019/03/,Informe-de-Gestion-del-CAC-Trimestre-Julio-Septiembre-2017-1.pdf,2415.239,pdf
,,,,,,2019/03/,Informe-de-Gestion-del-CAC-Trimestre-Julio-Septiembre-2017.pdf,2415.239,pdf
,,,,,,2019/03/,Informe-de-Gestion-del-CAC-Trimestre-Julio-Septiembre-2018.pdf,2067.083,pdf
,,,,,,2019/03/,Informe-de-Gestion-del-CAC-Trimestre-Octubre-Diciembre-2018.pdf,2023.014,pdf
,,,,,,2019/03/,Open-DataCCG-ODS-Agosto-2015.ods,13826.624,ods
,,,,,,2019/03/,OpenData-CCG-2017-2018-CSV.csv,0.993,csv
,,,,,,2019/03/,OpenData-CCG-2017-2018-ODS.ods,4.663,ods
,,,,,,2019/03/,OpenData-CCG-2017-2018-XLSX.xlsx,9.971,xlsx
,,,,,,2019/03/,OpenData-CCG-2017-csv.csv,0.588,csv
,,,,,,2019/03/,OpenData-CCG-2017-ods.ods,4.171,ods
,,,,,,2019/03/,OpenData-CCG-2017-xls.xlsx,9.188,xlsx
,,,,,,2019/03/,OpenData-CCG-CSV-Agosto-2015.csv,52213.096,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Agosto-2016-1.csv,29931.31,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Agosto-2016.csv,29931.31,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Diciembre-2015.csv,34270.304,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Diciembre-2016-1.csv,28476.616,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Diciembre-2016.csv,28476.616,csv
,,,,,"Open Data CCG, CSV - Julio 2015",2019/03/,OpenData-CCG-CSV-Julio-2015-1.csv,68018.459,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Julio-2015.csv,68018.459,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Julio-2016-1.csv,46763.757,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Julio-2016.csv,46763.757,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Junio-2016-1.csv,30249.033,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Junio-2016.csv,30249.033,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Noviembre-2015.csv,34768.919,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Noviembre-2016.csv,23043.361,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Octubre-2015.csv,47897.757,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Octubre-2016-1.csv,34532.729,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Octubre-2016.csv,34532.729,csv
,,,,,"Open Data CCG, CSV - Septiembre 2015",2019/03/,OpenData-CCG-CSV-Septiembre-2015.csv,37912.566,csv
,,,,,,2019/03/,OpenData-CCG-CSV-Septiembre-2016.csv,24540.161,csv
,,,,,,2019/03/,OpenData-CCG-ODS-Agosto-2016.ods,7661.933,ods
,,,,,"Open Data CCG, ODS - Diciembre 2015",2019/03/,OpenData-CCG-ODS-Diciembre-2015.ods,8272.779,ods
,,,,,,2019/03/,OpenData-CCG-ODS-Diciembre-2016.ods,7085.773,ods
,,,,,"Open Data CCG, ODS - Julio 2015",2019/03/,OpenData-CCG-ODS-Julio-2015.ods,15652.775,ods
,,,,,,2019/03/,OpenData-CCG-ODS-Junio-2015.ods,12392.806,ods
,,,,,,2019/03/,OpenData-CCG-ODS-Junio-2016.ods,7745.617,ods
,,,,,"Open Data CCG, ODS - Noviembre 2015",2019/03/,OpenData-CCG-ODS-Noviembre-2015.ods,8674.861,ods
,,,,,,2019/03/,OpenData-CCG-ODS-Noviembre-2016-1.ods,5769.511,ods
,,,,,,2019/03/,OpenData-CCG-ODS-Noviembre-2016.ods,5769.511,ods
,,,,,"Open Data CCG, ODS - Octubre 2015",2019/03/,OpenData-CCG-ODS-Octubre-2015.ods,10570.547,ods
,,,,,,2019/03/,OpenData-CCG-ODS-Octubre-2016-1.ods,8642.247,ods
,,,,,,2019/03/,OpenData-CCG-ODS-Octubre-2016.ods,8642.247,ods
,,,,,"Open Data CCG, ODS - Septiembre 2015",2019/03/,OpenData-CCG-ODS-Septiembre-2015.ods,9749.89,ods
,,,,,,2019/03/,OpenData-CCG-ODS-Septiembre-2016.ods,6077.655,ods
,,,,,"Open Data CCG, XLSX - Agosto 2015",2019/03/,OpenData-CCG-XLSX-Agosto-2015.xlsx,18427.321,xlsx
,,,,,,2019/03/,OpenData-CCG-XLSX-Agosto-2016.xlsx,9780.372,xlsx
,,,,,"Open Data CCG, XLSX - Diciembre 2015",2019/03/,OpenData-CCG-XLSX-Diciembre-2015.xlsx,10742.473,xlsx
,,,,,,2019/03/,OpenData-CCG-XLSX-Diciembre-2016.xlsx,9130.707,xlsx
,,,,,"Open Data CCG, XLSX - Julio 2015",2019/03/,OpenData-CCG-XLSX-Julio-2015.xlsx,24514.815,xlsx
,,,,,,2019/03/,OpenData-CCG-XLSX-Julio-2016-1.xlsx,15981.328,xlsx
,,,,,,2019/03/,OpenData-CCG-XLSX-Julio-2016.xlsx,15981.328,xlsx
,,,,,"Open Data CCG, XLSX - Noviembre 2015",2019/03/,OpenData-CCG-XLSX-Noviembre-2015.xlsx,11057.178,xlsx
,,,,,,2019/03/,OpenData-CCG-XLSX-Noviembre-2016.xlsx,7115.751,xlsx
,,,,,"Open Data CCG, XLSX - Octubre 2015",2019/03/,OpenData-CCG-XLSX-Octubre-2015.xlsx,15531.659,xlsx
,,,,,,2019/03/,OpenData-CCG-XLSX-Octubre-2016-1.xlsx,10764.044,xlsx
,,,,,,2019/03/,OpenData-CCG-XLSX-Octubre-2016.xlsx,10764.044,xlsx
,,,,,"Open Data CCG, XLSX - Septiembre 2015",2019/03/,OpenData-CCG-XLSX-Septiembre-2015.xlsx,12222.569,xlsx
,,,,,,2019/03/,OpenData-CCG-XLSX-Septiembre-2016.xlsx,7780.153,xlsx
,,,Estadísticas Institucionales,Indicadores E-Goverment,Indicadores Internacionales,2019/03/,Posicion_RD_E-Gov_Readiness_ONU.pdf,1052.714,pdf
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2015,"EstadísticasPunto GOB, Abril 2015",2019/03/,Reporte-abril-2015-Punto-GOB.xlsx,901.501,xlsx
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2016,"EstadísticasPunto GOB, Enero 2016",2019/03/,Reporte-Abril-2016.xlsx,137.054,xlsx
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2016,"EstadísticasPunto GOB, Enero 2016",2019/03/,Reporte-Agosto-2016.xlsx,139.535,xlsx
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2015,"EstadísticasPunto GOB, Diciembre 2015",2019/03/,Reporte-Diciembre-2015.xlsx,140.65,xlsx
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2016,"EstadísticasPunto GOB, Enero 2016",2019/03/,Reporte-Diciembre-2016.xlsx,145.102,xlsx
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2016,"EstadísticasPunto GOB, Enero 2016",2019/03/,Reporte-Febrero-2016.xlsx,139.6,xlsx
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2016,"EstadísticasPunto GOB, Julio 2016",2019/03/,Reporte-Julio-2016-1.xlsx,137.995,xlsx
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2016,"EstadísticasPunto GOB, Enero 2016",2019/03/,Reporte-Julio-2016.xlsx,137.995,xlsx
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2016,"EstadísticasPunto GOB, Enero 2016",2019/03/,Reporte-Junio-2016.xlsx,137.842,xlsx
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2016,"EstadísticasPunto GOB, Enero 2016",2019/03/,Reporte-Marzo-2016.xlsx,138.221,xlsx
,,Estadísticas Institucionales,Estadísticas del Punto GOB,2016,"EstadísticasPunto GOB, Enero 2016",2019/03/,Reporte-Mayo-2016-Punto-GOB.xlsx,129.738,xlsx
